Year,Coach,Team,Games Played,Wins,Losses,Tie,Win %,Points Scored,Points Against,Point Differential
2002,Gregg Williams,Buffalo Bills,16,8,8,0,0.5000,379,397,-18
2003,Gregg Williams,Buffalo Bills,16,6,10,0,0.3750,243,279,-36
2004,Mike Mularkey,Buffalo Bills,16,9,7,0,0.5625,395,284,111
2005,Mike Mularkey,Buffalo Bills,16,5,11,0,0.3125,271,367,-96
2006,Dick Jauron,Buffalo Bills,16,7,9,0,0.4375,300,311,-11
2007,Dick Jauron,Buffalo Bills,16,7,9,0,0.4375,252,354,-102
2008,Dick Jauron,Buffalo Bills,16,7,9,0,0.4375,336,342,-6
2009,Dick Jauron ,Buffalo Bills,9,3,6,0,0.3333,140,210,-70
2009,Perry Fewell ,Buffalo Bills,7,3,4,0,0.4286,118,116,2
2010,Chan Gailey,Buffalo Bills,16,4,12,0,0.2500,283,425,-142
2011,Chan Gailey,Buffalo Bills,16,6,10,0,0.3750,372,434,-62
2012,Chan Gailey,Buffalo Bills,16,6,10,0,0.3750,344,435,-91
2013,Doug Maronne,Buffalo Bills,16,6,10,0,0.3750,339,388,-49
2014,Doug Maronne,Buffalo Bills,16,9,7,0,0.5625,343,289,54
2015,Rex Ryan,Buffalo Bills,16,8,8,0,0.5000,379,359,20
2016,Rex Ryan ,Buffalo Bills,15,7,8,0,0.4667,389,348,41
2016,Anthony Lynn,Buffalo Bills,1,0,1,0,0.0000,10,30,-20
2017,Sean McDermott,Buffalo Bills,16,9,7,0,0.5625,302,359,-57
2018,Sean McDermott,Buffalo Bills,16,6,10,0,0.3750,269,374,-105
2019,Sean McDermott,Buffalo Bills,16,10,6,0,0.6250,314,259,55
2020,Sean McDermott,Buffalo Bills,16,13,3,0,0.8125,501,375,126
2021,Sean McDermott,Buffalo Bills,17,11,6,0,0.6471,483,289,194
2022,Sean McDermott,Buffalo Bills,16,13,3,0,0.8125,455,286,169
2023,Sean McDermott,Buffalo Bills,17,11,6,0,0.6471,451,311,140
2002,Dave Wannstedt,Dolphins,16,9,7,0,0.5625,378,301,77
2003,Dave Wannstedt,Dolphins,16,10,6,0,0.6250,311,261,50
2004,Dave Wannstedt,Dolphins,9,1,8,0,0.1111,123,186,-63
2004,Jim Bates,Dolphins,7,3,4,0,0.4286,152,168,-16
2005,Nick Saban,Dolphins,16,9,7,0,0.5625,318,317,1
2006,Nick Saban,Dolphins,16,6,10,0,0.3750,260,283,-23
2007,Cam Cameron,Dolphins,16,1,15,0,0.0625,267,437,-170
2008,Tony Sparano,Dolphins,16,11,5,0,0.6875,345,317,28
2009,Tony Sparano,Dolphins,16,7,9,0,0.4375,360,390,-30
2010,Tony Sparano,Dolphins,16,7,9,0,0.4375,273,333,-60
2011,Tony Sparano,Dolphins,13,4,9,0,0.3077,256,246,10
2011,Todd Bowles,Dolphins,3,2,1,0,0.6667,73,67,6
2012,Joe Philbin,Dolphins,16,7,9,0,0.4375,288,317,-29
2013,Joe Philbin,Dolphins,16,8,8,0,0.5000,317,335,-18
2014,Joe Philbin,Dolphins,16,8,8,0,0.5000,388,373,15
2015,Joe Philbin,Dolphins,4,1,3,0,0.2500,65,101,-36
2015,Dan Campbell,Dolphins,12,5,7,0,0.4167,245,288,-43
2016,Adam Gase,Dolphins,16,10,6,0,0.6250,363,380,-17
2017,Adam Gase,Dolphins,16,6,10,0,0.3750,281,393,-112
2018,Adam Gase,Dolphins,16,7,9,0,0.4375,269,374,-105
2019,Brian Flores,Dolphins,16,5,11,0,0.3125,306,494,-188
2020,Brian Flores,Dolphins,16,10,6,0,0.6250,404,338,66
2021,Brian Flores,Dolphins,17,9,8,0,0.5294,341,373,-32
2022,Mike McDaniel,Dolphins,17,9,8,0,0.5294,397,399,-2
2023,Mike McDaniel,Dolphins,17,11,6,0,0.6471,496,391,105
2002,Herman Edwards,Jets,16,9,7,0,0.5625,359,336,23
2003,Herman Edwards,Jets,16,6,10,0,0.3750,283,299,-16
2004,Herman Edwards,Jets,16,10,6,0,0.6250,333,261,72
2005,Herman Edwards,Jets,16,4,12,0,0.2500,240,355,-115
2006,Eric Mangini,Jets,16,10,6,0,0.6250,316,295,21
2007,Eric Mangini,Jets,16,4,12,0,0.2500,268,355,-87
2008,Eric Mangini,Jets,16,9,7,0,0.5625,405,356,49
2009,Rex Ryan,Jets,16,9,7,0,0.5625,348,236,112
2010,Rex Ryan,Jets,16,11,5,0,0.6875,367,304,63
2011,Rex Ryan,Jets,16,8,8,0,0.5000,377,363,14
2012,Rex Ryan,Jets,16,6,10,0,0.3750,281,375,-94
2013,Rex Ryan,Jets,16,8,8,0,0.5000,290,387,-97
2014,Rex Ryan,Jets,16,4,12,0,0.2500,283,401,-118
2015,Todd Bowles,Jets,16,10,6,0,0.6250,387,314,73
2016,Todd Bowles,Jets,16,5,11,0,0.3125,275,409,-134
2017,Todd Bowles,Jets,16,5,11,0,0.3125,298,382,-84
2018,Todd Bowles,Jets,16,4,12,0,0.2500,333,441,-108
2019,Adam Gase,Jets,16,7,9,0,0.4375,276,359,-83
2020,Adam Gase,Jets,16,2,14,0,0.1250,243,457,-214
2021,Robert Saleh,Jets,17,4,13,0,0.2353,310,504,-194
2022,Robert Saleh,Jets,17,7,10,0,0.4118,296,316,-20
2023,Robert Saleh,Jets,17,7,10,0,0.4118,268,355,-87
2002,Bill Belichick,Patriots,16,9,7,0,0.5625,381,346,35
2003,Bill Belichick,Patriots,16,14,2,0,0.8750,348,238,110
2004,Bill Belichick,Patriots,16,14,2,0,0.8750,437,260,177
2005,Bill Belichick,Patriots,16,10,6,0,0.6250,379,338,41
2006,Bill Belichick,Patriots,16,12,4,0,0.7500,385,237,148
2007,Bill Belichick,Patriots,16,16,0,0,1.0000,589,274,315
2008,Bill Belichick,Patriots,16,11,5,0,0.6875,410,309,101
2009,Bill Belichick,Patriots,16,10,6,0,0.6250,427,285,142
2010,Bill Belichick,Patriots,16,14,2,0,0.8750,518,313,205
2011,Bill Belichick,Patriots,16,13,3,0,0.8125,513,342,171
2012,Bill Belichick,Patriots,16,12,4,0,0.7500,557,331,226
2013,Bill Belichick,Patriots,16,12,4,0,0.7500,444,338,106
2014,Bill Belichick,Patriots,16,12,4,0,0.7500,468,313,155
2015,Bill Belichick,Patriots,16,12,4,0,0.7500,465,315,150
2016,Bill Belichick,Patriots,16,14,2,0,0.8750,441,250,191
2017,Bill Belichick,Patriots,16,13,3,0,0.8125,458,296,162
2018,Bill Belichick,Patriots,16,11,5,0,0.6875,436,325,111
2019,Bill Belichick,Patriots,16,12,4,0,0.7500,420,225,195
2020,Bill Belichick,Patriots,16,7,9,0,0.4375,326,353,-27
2021,Bill Belichick,Patriots,17,10,7,0,0.5882,462,303,159
2022,Bill Belichick,Patriots,17,8,9,0,0.4706,364,347,17
2023,Bill Belichick,Patriots,17,4,13,0,0.2353,236,366,-130
2002,Dick Vermeil,Chiefs,16,8,8,0,0.5000,467,399,68
2003,Dick Vermeil,Chiefs,16,13,3,0,0.8125,484,332,152
2004,Dick Vermeil,Chiefs,16,7,9,0,0.4375,483,435,48
